Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	\\mchampion-nas.esc.nd.edu\DATA\Simon\timsTOF_files\20230718-SMEG-6protMix-DIA\20230718-300Smeg_D_6protl-1_S1-B6_1_6595.d	\\mchampion-nas.esc.nd.edu\DATA\Simon\timsTOF_files\20230718-SMEG-6protMix-DIA\20230718-300Smeg_D_6protl-2_S1-C6_1_6596.d	\\mchampion-nas.esc.nd.edu\DATA\Simon\timsTOF_files\20230718-SMEG-6protMix-DIA\20230718-300Smeg_D_6protl-3_S1-D6_1_6597.d
A0A2U9PX16;A0A8B4R1D3;A0R3L6;I7GEB0	A0A2U9PX16;A0A8B4R1D3;A0R3L6;I7GEB0	A0A2U9PX16_MYCSE;A0A8B4R1D3_MYCSM;A0R3L6_MYCS2;I7GEB0_MYCS2	D806_054030;MSMEG_5517;MSMEI_5365;NCTC7017_03451	Integral membrane protein	5215.64	4696.62	5742.97
A0A2U9PX28;A0A8B4QZR3;A0R3L8;I7FSI3;L0J1P4	A0A2U9PX28;A0A8B4QZR3;A0R3L8;I7FSI3;L0J1P4	A0A2U9PX28_MYCSE;A0A8B4QZR3_MYCSM;A0R3L8_MYCS2;I7FSI3_MYCS2;L0J1P4_9MYCO	D806_054050;MSMEG_5519;MSMEI_5367;Mycsm_05282;rutA_7	Monooxygenase	5206.99	5457.03	6627.33
A0A2U9PX30;A0A8B4R0K5;A0R3L2	A0A2U9PX30;A0A8B4R0K5;A0A8B4RAK9;A0R3L2;I7G7W9	A0A2U9PX30_MYCSE;A0A8B4R0K5_MYCSM;A0R3L2_MYCS2	D806_053990;MSMEG_5513;pknF_3	non-specific serine/threonine protein kinase	103175	105563	108269
A0A2U9PX33;A0A8B4QZI6;A0R3F5;I7GE63	A0A2U9PX33;A0A8B4QZI6;A0R3F5;I7GE63	A0A2U9PX33_MYCSE;A0A8B4QZI6_MYCSM;A0R3F5_MYCS2;I7GE63_MYCS2	D806_053360;MSMEG_5454;MSMEI_5304;NCTC7017_03517	Choloylglycine hydrolase, putative	321575	313785	322812
A0A2U9PX36;A0A8B4R039;A0R3H9	A0A2U9PX36;A0A8B4R039;A0R3H9	A0A2U9PX36_MYCSE;A0A8B4R039_MYCSM;A0R3H9_MYCS2	D806_053600;MSMEG_5479;NCTC7017_03493	Type I antifreeze protein	46704.5	46559.8	48508.3
A0A2U9PX45;A0A8B4QP53;A0R3P7;I7GED3	A0A2U9PX45;A0A8B4QP53;A0R3P7;I7GED3	A0A2U9PX45_MYCSE;A0A8B4QP53_MYCSM;A0R3P7_MYCS2;I7GED3_MYCS2	D806_054320;MSMEI_5395;NCTC7017_03423;cobF	Precorrin-6A synthase (Deacetylating)	7398.18	8551.11	8562.64
A0A2U9PX49;A0A653F9J0;A0R3P0;I7GFF4	A0A2U9PX49;A0A653F9J0;A0R3P0;I7GFF4	A0A2U9PX49_MYCSE;A0A653F9J0_MYCSM;A0R3P0_MYCS2;I7GFF4_MYCS2	BIN_B_00707;D806_054250;MSMEG_5540;MSMEI_5388	Uncharacterized protein	2722.38	2900.65	2795.15
A0A2U9PX51;A0R3L9;I7GFE5	A0A2U9PX51;A0R3L9;I7GFE5	A0A2U9PX51_MYCSE;A0R3L9_MYCS2;I7GFE5_MYCS2	D806_054060;MSMEG_5520;MSMEI_5368	Luciferase-like domain-containing protein	61881.1	66603.4	64524.4
A0A2U9PX52;A0A8B4R1A6;A0R233;I7G6G6	A0A2U9PX52;A0A8B4R1A6;A0R233;I7G6G6	A0A2U9PX52_MYCSE;A0A8B4R1A6_MYCSM;A0R233_MYCS2;I7G6G6_MYCS2	D806_048740;MSMEG_4970;MSMEI_4843;NCTC7017_03996	Adhesin domain-containing protein	4123.87	4345.41	3971.77
A0A2U9PX64;A0A653FBE9;A0R3R3	A0A2U9PX64;A0A653FBE9;A0R3R3	A0A2U9PX64_MYCSE;A0A653FBE9_MYCSM;A0R3R3_MYCS2	BIN_B_00733;D806_054520;MSMEG_5566	Transcriptional regulator	26731.8	27968.6	29011.2
A0A2U9PX65;A0A8B4R0H5;A0R3I4	A0A2U9PX65;A0A8B4R0H5;A0R3I4	A0A2U9PX65_MYCSE;A0A8B4R0H5_MYCSM;A0R3I4_MYCS2	D806_053670;MSMEG_5484;NCTC7017_03488	Uncharacterized protein	3318.02	4780.79	4342.87
A0A2U9PX67;A0A8B4QP18;A0R3Q7;I7GFG3	A0A2U9PX67;A0A8B4QP18;A0R3Q7;I7GFG3	A0A2U9PX67_MYCSE;A0A8B4QP18_MYCSM;A0R3Q7_MYCS2;I7GFG3_MYCS2	D806_054450;MSMEG_5560;MSMEI_5408;NCTC7017_03410	Glyoxalase	4391.23	3894.68	4342.04
A0A2U9PX69;A0A8B4QQ57;A0R3Q2	A0A2U9PX69;A0A8B4QQ57;A0R3Q2;I7FSM1	A0A2U9PX69_MYCSE;A0A8B4QQ57_MYCSM;A0R3Q2_MYCS2	D806_054390;MSMEG_5554;NCTC7017_03416	Antar domain protein	27258.5	28127.2	27700.8
A0A2U9PX72;A0A8B4QPG9;A0R3S3;I7G880	A0A2U9PX72;A0A8B4QPG9;A0R3S3;I7G880	A0A2U9PX72_MYCSE;A0A8B4QPG9_MYCSM;A0R3S3_MYCS2;I7G880_MYCS2	D806_054620;MSMEG_5576;MSMEI_5426;mtlK	D-mannonate oxidoreductase	70490.1	72205.2	66034.1
A0A2U9PX73;A0A653F9U7;A0R3R5;I7FSQ8	A0A2U9PX73;A0A653F9U7;A0R3R5;I7FSQ8	A0A2U9PX73_MYCSE;A0A653F9U7_MYCSM;A0R3R5_MYCS2;I7FSQ8_MYCS2	BIN_B_00735;D806_054540;MSMEG_5568;MSMEI_5417	Clavaldehyde dehydrogenase	67390.6	69878.8	67917.1
A0A2U9PX74;A0A653FBM0;A0R3S4;I7FSR4	A0A2U9PX74;A0A653FBM0;A0R3S4;I7FSR4	A0A2U9PX74_MYCSE;A0A653FBM0_MYCSM;A0R3S4_MYCS2;I7FSR4_MYCS2	D806_054630;MSMEG_5577;MSMEI_5427;kdgK_1	Fructokinase	33107.9	33530.1	31751
A0A2U9PX75;A0A653F9G2;A0R3J4;I7FSF9	A0A2U9PX75;A0A653F9G2;A0R3J4;I7FSF9	A0A2U9PX75_MYCSE;A0A653F9G2_MYCSM;A0R3J4_MYCS2;I7FSF9_MYCS2	D806_053770;MSMEG_5494;fadE12;fadE12_2	Acyl-CoA dehydrogenase fadE12			2095.32
A0A2U9PX79;A0A8B4QZE8;A0R3L3;I7FSH8	A0A2U9PX79;A0A8B4QZE8;A0A8B4R906;A0R3L3;I7FSH8	A0A2U9PX79_MYCSE;A0A8B4QZE8_MYCSM;A0R3L3_MYCS2;I7FSH8_MYCS2	D806_054000;MSMEG_5514;MSMEI_5362;NCTC7017_03454	Lipoprotein LpqN	57490.2	63859.2	64556.1
A0A2U9PX80;A0A653FGV7;A0R263;I7G6J3	L0J414;A0A2U9PX80;A0A653FGV7;A0R263;I7G6J3	A0A2U9PX80_MYCSE;A0A653FGV7_MYCSM;A0R263_MYCS2;I7G6J3_MYCS2	D806_049040;MSMEG_5001;MSMEI_4873;soxC_6	Pesticide degrading monooxygenase	8112.65	9700	9547.2
A0A2U9PX86;A0A8B4R9E5;A0R3K5;I7G7V7	A0A2U9PX86;A0A8B4QZG1;A0A8B4R9E5;A0R3K5;I7G7V7	A0A2U9PX86_MYCSE;A0A8B4R9E5_MYCSM;A0R3K5_MYCS2;I7G7V7_MYCS2	D806_053870;MSMEG_5505;MSMEI_5351;NCTC7017_06693	Cell wall-active antibiotics response LiaF-like C-terminal domain-containing protein	36618.6	47190.7	42881
A0A2U9PX88;A0R3M3;I7FSI8	A0A2U9PX88;A0A8B4QQG5;A0R3M3;I7FSI8	A0A2U9PX88_MYCSE;A0R3M3_MYCS2;I7FSI8_MYCS2	sucD	Succinate--CoA ligase [ADP-forming] subunit alpha	2.41818e+06	2.45379e+06	2.45437e+06
A0A2U9PX89;A0A8B4QP42;A0R3S0;I7FSR2	A0A2U9PX89;A0A8B4QP42;A0R3S0;I7FSR2	A0A2U9PX89_MYCSE;A0A8B4QP42_MYCSM;A0R3S0_MYCS2;I7FSR2_MYCS2	D806_054590;MSMEG_5573;MSMEI_5422;ycjO_2	Sugar ABC transporter permease protein	15872	18919.4	19537.7
A0A2U9PX92;A0A8B4QPE9;A0R3U4;I7G8A5	A0A2U9PX92;A0A8B4QPE9;A0R3U4;I7G8A5	A0A2U9PX92_MYCSE;A0A8B4QPE9_MYCSM;A0R3U4_MYCS2;I7G8A5_MYCS2	D806_054820;MSMEG_5597;MSMEI_5446;icaR_3	Transcriptional regulator, TetR family protein	18601.2	19741.8	18589.7
A0A2U9PX94;A0A8B4QQ80;A0R3T7;I7FKT6	A0A2U9PX94;A0A8B4QQ80;A0R3T7;I7FKT6	A0A2U9PX94_MYCSE;A0A8B4QQ80_MYCSM;A0R3T7_MYCS2;I7FKT6_MYCS2	D806_054750;MSMEG_5591;MSMEI_5439;NCTC7017_03381	Replication protein	22474.7	22102.7	19876.1
A0A2U9PX96;A0A8B4R1G3;A0R3L0;I7FKG6	A0A2U9PX96;A0A8B4R1G3;A0R3L0;I7FKG6	A0A2U9PX96_MYCSE;A0A8B4R1G3_MYCSM;A0R3L0_MYCS2;I7FKG6_MYCS2	D806_053970;MSMEG_5511;MSMEI_5359;NCTC7017_03457	von Willebrand factor, type A	109003	103053	105948
A0A2U9PXA0;A0A8B4QQF5	A0A2U9PXA0;A0A8B4QQF5	A0A2U9PXA0_MYCSE;A0A8B4QQF5_MYCSM	D806_054200;NCTC7017_03435	Chorismate mutase	7374.46	9886.65	9814.92
A0A2U9PXA1;A0A8B4R151;A0R284;I7G6L0	A0A2U9PXA1;A0A8B4R151;A0R284;I7G6L0	A0A2U9PXA1_MYCSE;A0A8B4R151_MYCSM;A0R284_MYCS2;I7G6L0_MYCS2	D806_049240;MSMEG_5021;MSMEI_4893;gutB_3	Alcohol dehydrogenase, zinc-containing	1051.08	906.967	2385.04
A0A2U9PXA3;A0A653F9G9;A0R3M0;I7FKH8	A0A2U9PXA3;A0A653F9G9;A0R3M0;I7FKH8	A0A2U9PXA3_MYCSE;A0A653F9G9_MYCSM;A0R3M0_MYCS2;I7FKH8_MYCS2	BIN_B_00689;D806_054070;MSMEG_5521;MSMEI_5369	Acetyl-CoA acetyltransferase	15751.8	16411.2	19071.2
A0A2U9PXC0;A0A8B4QQD6;A4ZHT5;I7GFG1	A0A2U9PXC0;A0A8B4QQD6;A4ZHT5;I7GFG1	A0A2U9PXC0_MYCSE;A0A8B4QQD6_MYCSM;A4ZHT5_MYCS2;I7GFG1_MYCS2	D806_054400;MSMEG5533;MSMEI_5403;rutA_6	Hydride transferase 1	107428	107066	101713
A0A2U9PXD3;A0A8B4QNX3;I7G8B8	A0A2U9PXD3;A0A8B4QNX3;A0R3V8;I7G8B8	A0A2U9PXD3_MYCSE;A0A8B4QNX3_MYCSM;I7G8B8_MYCS2	D806_055000;MSMEI_5462;ydaF_1	Amino-acid acetyltransferase	167666	166674	170045
A0A2U9PXE1;A0A8B4QP00;A0R3V5;I7GFJ3	A0A2U9PXE1;A0A8B4QP00;A0R3V5;I7GFJ3	A0A2U9PXE1_MYCSE;A0A8B4QP00_MYCSM;A0R3V5_MYCS2;I7GFJ3_MYCS2	D806_054970;MSMEG_5609;MSMEI_5459;NCTC7017_03362	Dioxygenase	2022	2187.97	1978.32
A0A2U9PXE2;A0A8B4QQ37;A0R3S1;I7GFH9	A0A2U9PXE2;A0A8B4QQ37;A0R3S1;I7GFH9	A0A2U9PXE2_MYCSE;A0A8B4QQ37_MYCSM;A0R3S1_MYCS2;I7GFH9_MYCS2	D806_054600;MSMEG_5574;MSMEI_5423;NCTC7017_03396	Substrate binding protein	35378.1	34560.7	32813.3
A0A2U9PXE3;A0A8B4QNY3;A0R3Z1;I7FKX3	A0A2U9PXE3;A0A8B4QNY3;A0R3Z1;I7FKX3	A0A2U9PXE3_MYCSE;A0A8B4QNY3_MYCSM;A0R3Z1_MYCS2;I7FKX3_MYCS2	D806_055330;MSMEG_5645;MSMEI_5495;ybhF_1	ABC transporter domain-containing protein	37062.7	39499.9	40552.9
A0A2U9PXE5;A0A653F9V5;A0R3Y3;I7G8E3	A0A2U9PXE5;A0A653F9V5;A0R3Y3;I7G8E3	A0A2U9PXE5_MYCSE;A0A653F9V5_MYCSM;A0R3Y3_MYCS2;I7G8E3_MYCS2	D806_055250;MSMEG_5637;MSMEI_5487;ampH_2	Penicillin-binding protein 4	33810	37312.5	35402.7
A0A2U9PXE6;A0A8B4R1X5;A0R2C4;I7GEP4	A0A2U9PXE6;A0A8B4R1X5;A0R2C4;I7GEP4	A0A2U9PXE6_MYCSE;A0A8B4R1X5_MYCSM;A0R2C4_MYCS2;I7GEP4_MYCS2	D806_049650;MSMEG_5062;MSMEI_4935;NCTC7017_03906	General stress protein 17M-like domain-containing protein	60583.5	59467.6	59850
A0A2U9PXF3;A0A8B4QNV4;A0R3X8;I7G8D7	A0A2U9PXF3;A0A8B4QNV4;A0R3X8;I7G8D7	A0A2U9PXF3_MYCSE;A0A8B4QNV4_MYCSM;A0R3X8_MYCS2;I7G8D7_MYCS2	D806_055200;MSMEG_5632;MSMEI_5482;xecD_2	Oxidoreductase, short chain dehydrogenase/reductase family protein	6475.52	8839.76	7790.09
A0A2U9PXF9;A0A653FH40;A0R2E4;I7FJA7	A0A2U9PXF9;A0A653FH40;A0R2E4;I7FJA7	A0A2U9PXF9_MYCSE;A0A653FH40_MYCSM;A0R2E4_MYCS2;I7FJA7_MYCS2	D806_049850;tag;tagA	DNA-3-methyladenine glycosylase I	30626.3	32796.1	32976.6
A0A2U9PXG0;A0A8B4QPA5;A0R3Z8;I7GFL1	A0A2U9PXG0;A0A8B4QPA5;A0R3Z8;I7GFL1	A0A2U9PXG0_MYCSE;A0A8B4QPA5_MYCSM;A0R3Z8_MYCS2;I7GFL1_MYCS2	D806_055460;MSMEG_5654;MSMEI_5504;benM_4	Transcriptional regulator, LysR family protein	3257.06	3478.86	4024.06
A0A2U9PXG6;A0A653FA32;A0R405;I7GEL2	A0A2U9PXG6;A0A653FA32;A0R405;I7GEL2;L0J4R8	A0A2U9PXG6_MYCSE;A0A653FA32_MYCSM;A0R405_MYCS2;I7GEL2_MYCS2	BIN_B_00826;D806_055530;MSMEG_5660;MSMEI_5511	ABC transporter ATP-binding protein	10887.8	11803.9	12675.7
A0A2U9PXG8;A0A8B4QNX2;A0R3Y5;I7GFK5	A0A8B4QNX2;I7GFK5;A0A2U9PXG8;A0R3Y5;L0J3Z8	A0A2U9PXG8_MYCSE;A0A8B4QNX2_MYCSM;A0R3Y5_MYCS2;I7GFK5_MYCS2	D806_055270;MSMEG_5639;echA6	Enoyl-CoA hydratase	389164	395518	383131
A0A2U9PXH5;A0A8B4QNR5;A0R418;I7FSY2	A0A2U9PXH5;A0A8B4QNR5;A0R418;I7FSY2	A0A2U9PXH5_MYCSE;A0A8B4QNR5_MYCSM;A0R418_MYCS2;I7FSY2_MYCS2	D806_055640;MSMEG_5673;MSMEI_5523;NCTC7017_03298	Transcriptional regulator	55429.6	55378.4	61677
A0A2U9PXH6;A0A8B4QPZ1;A0R417;I7G8I0	A0A2U9PXH6;A0A8B4QPZ1;A0R417;I7G8I0;L0J2U5	A0A2U9PXH6_MYCSE;A0A8B4QPZ1_MYCSM;A0R417_MYCS2;I7G8I0_MYCS2	D806_055630;gltA;gltA2	Citrate synthase	1.76047e+06	1.76581e+06	1.69681e+06
A0A2U9PXH8;A0A653F9W0;A0R3U7;I7GEI7	A0A2U9PXH8;A0A653F9W0;A0R3U7;I7GEI7	A0A2U9PXH8_MYCSE;A0A653F9W0_MYCSM;A0R3U7_MYCS2;I7GEI7_MYCS2	BIN_B_00767;D806_054880;MSMEG_5601;MSMEI_5451	Uncharacterized protein	23494	23081	21832.8
A0A2U9PXI2;A0A8B4QP74;A0R429;I7GFM2	A0A2U9PXI2;A0A8B4QP74;A0R429;I7GFM2	A0A2U9PXI2_MYCSE;A0A8B4QP74_MYCSM;A0R429_MYCS2;I7GFM2_MYCS2	serC	Phosphoserine aminotransferase	587936	581336	582117
A0A2U9PXI3;A0A8B4QNW6;A0R3W0;I7GFJ5	A0A2U9PXI3;A0A8B4QNW6;A0R3W0;I7GFJ5	A0A2U9PXI3_MYCSE;A0A8B4QNW6_MYCSM;A0R3W0_MYCS2;I7GFJ5_MYCS2	D806_055020;MSMEG_5615;MSMEI_5464;NCTC7017_03357	DUF985 domain-containing protein	111762	124248	126912
A0A2U9PXI5;A0A653FDP4;A0R428;I7FSZ0	A0A2U9PXI5;A0A653FDP4;A0R428;I7FSZ0	A0A2U9PXI5_MYCSE;A0A653FDP4_MYCSM;A0R428_MYCS2;I7FSZ0_MYCS2	map;map-1;map-1_1	Methionine aminopeptidase	23976.5	29414.1	28728.6
A0A2U9PXJ1;A0A8B4QNQ1;A0R430;I7FL03	A0A2U9PXJ1;A0A8B4QNQ1;A0R430;I7FL03	A0A2U9PXJ1_MYCSE;A0A8B4QNQ1_MYCSM;A0R430_MYCS2;I7FL03_MYCS2	D806_055750;MSMEG_5685;MSMEI_5535;NCTC7017_03286	DNA-binding protein	33392.1	32446.1	36159
A0A2U9PXJ2;A0A8B4QP71;A0R414;I7GFL6	A0A2U9PXJ2;A0A8B4QP71;A0R414;I7GFL6	A0A2U9PXJ2_MYCSE;A0A8B4QP71_MYCSM;A0R414_MYCS2;I7GFL6_MYCS2	D806_055600;MSMEG_5668;MSMEI_5519;NCTC7017_03302	Putative transcriptional regulator	4910.04	4764.79	4749.54
A0A2U9PXJ4;A0A653FDQ8;A0R439;I7FSZ7	A0A2U9PXJ4;A0A653FDQ8;A0R439;I7FSZ7	A0A2U9PXJ4_MYCSE;A0A653FDQ8_MYCSM;A0R439_MYCS2;I7FSZ7_MYCS2	BIN_B_01504;D806_055830;MSMEG_5694;MSMEI_5543	DUF2771 domain-containing protein	41081.4	43127.2	40575.9
A0A2U9PXJ7;A0A8B4QNS0;A0R409;I7FKY7	A0A2U9PXJ7;A0A8B4QNS0;A0R409;I7FKY7	A0A2U9PXJ7_MYCSE;A0A8B4QNS0_MYCSM;A0R409_MYCS2;I7FKY7_MYCS2	D806_055570;MSMEG_5664;MSMEI_5515;fkbP	Peptidyl-prolyl cis-trans isomerase	532717	551260	558066
A0A2U9PXJ9;A0A8B4QNT9;A0R442;I7GEN2	A0A2U9PXJ9;A0A8B4QNT9;A0R442;I7GEN2	A0A2U9PXJ9_MYCSE;A0A8B4QNT9_MYCSM;A0R442_MYCS2;I7GEN2_MYCS2	D806_055860;MSMEG_5697;MSMEI_5546;yccF	Integral membrane protein	51356.1	59374.6	57066.1
A0A2U9PXK0;A0A8B4R2J4;A0R2J0;I7G6X1	A0A2U9PXK0;A0A8B4R2J4;A0R2J0;I7G6X1	A0A2U9PXK0_MYCSE;A0A8B4R2J4_MYCSM;A0R2J0_MYCS2;I7G6X1_MYCS2	bipA;typA	50S ribosomal subunit assembly factor BipA	239616	239848	236523
A0A2U9PXK1;A0A8B4QNP1;A0R441;I7FL10	A0A2U9PXK1;A0A8B4QNP1;A0R441;I7FL10;L0J252	A0A2U9PXK1_MYCSE;A0A8B4QNP1_MYCSM;A0R441_MYCS2;I7FL10_MYCS2	D806_055850;MSMEG_5696;csp;cspB	Cold-shock DNA-binding domain protein	362387	354447	341414
A0A2U9PXK2;A0A8B4QNV0;A0R3Y0;I7GFK3	A0A2U9PXK2;A0A8B4QNV0;A0R3Y0;I7GFK3	A0A2U9PXK2_MYCSE;A0A8B4QNV0_MYCSM;A0R3Y0_MYCS2;I7GFK3_MYCS2	D806_055220;MSMEG_5634;MSMEI_5484;NCTC7017_03337	Toxin	232026	252843	251561
A0A2U9PXK3;A0A8B4QNT4;A0R425;I7FL00	A0A2U9PXK3;A0A8B4QNT4;A0R425;I7FL00	A0A2U9PXK3_MYCSE;A0A8B4QNT4_MYCSM;A0R425_MYCS2;I7FL00_MYCS2	D806_055700;MSMEG_5680;MSMEI_5530;NCTC7017_03291	Glyoxalase family protein	76324.6	80116.9	81552.1
A0A2U9PXK4;A0A653FBZ5;A0R450;I7GFN0	A0A2U9PXK4;A0A653FBZ5;A0R450;I7GFN0	A0A2U9PXK4_MYCSE;A0A653FBZ5_MYCSM;A0R450_MYCS2;I7GFN0_MYCS2	BIN_B_01515;D806_055940;MSMEG_5705;MSMEI_5554	Helicase XPB/Ssl2 N-terminal domain-containing protein	45535	41302.4	44587.1
A0A2U9PXK5;A0A8B4QNN7;A0R449;I7FT03	A0A2U9PXK5;A0A8B4QNN7;A0R449;I7FT03	A0A2U9PXK5_MYCSE;A0A8B4QNN7_MYCSM;A0R449_MYCS2;I7FT03_MYCS2	D806_055930;MSMEG_5704;MSMEI_5553;NCTC7017_03267	Uncharacterized protein	75200.6	85834.8	84448.5
A0A2U9PXK7;A0A8B4QNV3;A0R421;I7GEM0	A0A8B4QNV3;A0R421;I7GEM0;A0A2U9PXK7	A0A2U9PXK7_MYCSE;A0A8B4QNV3_MYCSM;A0R421_MYCS2;I7GEM0_MYCS2	D806_055670;MSMEG_5676;citA	citrate synthase (unknown stereospecificity)	405078	419162	404385
A0A2U9PXL0;A0A8B4QNN1;I7FL21	A0A2U9PXL0;A0A8B4QNN1;A0R451;I7FL21	A0A2U9PXL0_MYCSE;A0A8B4QNN1_MYCSM;I7FL21_MYCS2	D806_055950;NCTC7017_03265;ercc3	DNA helicase	183922	189721	188630
A0A2U9PXL2;A0A653FBS7;A0R432;I7G8J7	A0A2U9PXL2;A0A653FBS7;A0R432;I7G8J7	A0A2U9PXL2_MYCSE;A0A653FBS7_MYCSM;A0R432_MYCS2;I7G8J7_MYCS2	BIN_B_01498;D806_055770;MSMEG_5687;MSMEI_5537	23s ribosomal RNA methyltransferase	26443.6	27944.1	25334.3
A0A2U9PXL3;A0A8B4QNS5;A0R435;I7FL07	A0A2U9PXL3;A0A8B4QNS5;A0R435;I7FL07	A0A2U9PXL3_MYCSE;A0A8B4QNS5_MYCSM;A0R435_MYCS2;I7FL07_MYCS2	D806_055800;MSMEG_5690;MSMEI_5540;NCTC7017_03281	Cyclase/dehydrase	93789.4	102146	100455
A0A2U9PXL5;A0A653FC10;A0R461;I7GFN4	A0A2U9PXL5;A0A653FC10;A0R461;I7GFN4	A0A2U9PXL5_MYCSE;A0A653FC10_MYCSM;A0R461_MYCS2;I7GFN4_MYCS2	D806_056030;MSMEG_5715;MSMEI_5564;rutA_3	Luciferase-like domain-containing protein	683283	649146	646607
A0A2U9PXL7;A0A653FMR3;A0R2K2;I7GDL0	A0A2U9PXL7;A0A653FMR3;A0R2K2;I7GDL0	A0A2U9PXL7_MYCSE;A0A653FMR3_MYCSM;A0R2K2_MYCS2;I7GDL0_MYCS2	D806_050350;MSMEG_5144;MSMEI_5012;bglX	Xylosidase/arabinosidase	12368.7	12061.1	10615
A0A2U9PXL8;A0A653FBW5;A0R462;I7FL29	A0A2U9PXL8;A0A653FBW5;A0R462;I7FL29	A0A2U9PXL8_MYCSE;A0A653FBW5_MYCSM;A0R462_MYCS2;I7FL29_MYCS2	BIN_B_01526;D806_056040;MSMEG_5717;MSMEI_5565	Pyridoxamine 5'-phosphate oxidase family protein	263054	270043	284437
A0A2U9PXL9;A0A653FBW2;A0R464;I7G8N1	A0A2U9PXL9;A0A653FBW2;A0R464;I7G8N1	A0A2U9PXL9_MYCSE;A0A653FBW2_MYCSM;A0R464_MYCS2;I7G8N1_MYCS2	D806_056060;MSMEG_5719;MSMEI_5567;nicC_1	Oxidoreductase	22339.8	24040.6	22649.9
A0A2U9PXN4;A0A8B4QP81;A0R403;I7GFL3	A0A2U9PXN4;A0A8B4QP81;A0R403;I7GFL3;L0J2S8	A0A2U9PXN4_MYCSE;A0A8B4QP81_MYCSM;A0R403_MYCS2;I7GFL3_MYCS2	D806_055510;MSMEG_5658;MSMEI_5509;NCTC7017_03312	Epoxide hydrolase	176842	178007	171808
A0A2U9PXN6;A0A8B4QPM9;A0R473;I7GEQ4	A0A2U9PXN6;A0A8B4QPM9;A0R473;I7GEQ4	A0A2U9PXN6_MYCSE;A0A8B4QPM9_MYCSM;A0R473_MYCS2;I7GEQ4_MYCS2	D806_056230;MSMEG_5728;MSMEI_5576;NCTC7017_03243	Polysaccharide deacetylase family protein	28007	29869.4	27614.5
A0A2U9PXN9;A0A653FMS8;A0R2M2;I7FJH2	A0A2U9PXN9;A0A653FMS8;A0R2M2;I7FJH2	A0A2U9PXN9_MYCSE;A0A653FMS8_MYCSM;A0R2M2_MYCS2;I7FJH2_MYCS2	BIN_B_05362;D806_050550;MSMEG_5164;MSMEI_5031	Zinc-type alcohol dehydrogenase-like protein	97363.3	92586.3	91861.5
A0A2U9PXP8;A0A8B4QNW3;A0R411;I7GEL4	A0A2U9PXP8;A0A8B4QNW3;A0R411;I7GEL4	A0A2U9PXP8_MYCSE;A0A8B4QNW3_MYCSM;A0R411_MYCS2;I7GEL4_MYCS2	D806_055580;MSMEG_5666;MSMEI_5516;NCTC7017_03305	DUF2630 domain-containing protein	123651	131922	138761
A0A2U9PXQ4;A0A8B4QP06;A0R486;I7FT29	A0A2U9PXQ4;A0A8B4QP06;A0R486;I7FT29	A0A2U9PXQ4_MYCSE;A0A8B4QP06_MYCSM;A0R486_MYCS2;I7FT29_MYCS2	D806_056350;MSMEG_5741;MSMEI_5588;NCTC7017_03231	DUF218 domain-containing protein	12087.1	13828.4	14105
A0A2U9PXQ6	A0A2U9PXQ6	A0A2U9PXQ6_MYCSE	D806_056300	Alpha-keto-acid decarboxylase	1951.45	4559.65	2228.62
A0A2U9PXQ7;A0A653FBS5;I7G8J2	A0A2U9PXQ7;A0A653FBS5;A0R427;I7G8J2	A0A2U9PXQ7_MYCSE;A0A653FBS5_MYCSM;I7G8J2_MYCS2	BIN_B_01493;D806_055720;MSMEI_5532	p-aminobenzoate N-oxygenase AurF	50729.3	49916.9	51782.1
A0A2U9PXR3;A0A653FC52;A0R4A3;I7FL69	A0A2U9PXR3;A0A653FC52;A0R4A3;I7FL69	A0A2U9PXR3_MYCSE;A0A653FC52_MYCSM;A0R4A3_MYCS2;I7FL69_MYCS2	D806_056600;MSMEG_5762;MSMEI_5609;ppsC_2	Zinc-binding oxidoreductase	12690.1	13187.2	13429.2
A0A2U9PXR9;A0R4C1;I7G8T7;Q7WTY6	A0A2U9PXR9;A0R4C1;I7G8T7;Q7WTY6	A0A2U9PXR9_MYCSE;A0R4C1_MYCS2;I7G8T7_MYCS2;Q7WTY6_MYCSM	D806_056770;MSMEI_5627;pstA	Phosphate transport system permease protein PstA	32606.2	40113.1	37070.8
A0A2U9PXS2;A0A653FDK8;A0R433;I7FSZ4	A0A2U9PXS2;A0A653FDK8;A0R433;I7FSZ4	A0A2U9PXS2_MYCSE;A0A653FDK8_MYCSM;A0R433_MYCS2;I7FSZ4_MYCS2	BIN_B_01499;D806_055780;MSMEG_5688;MSMEI_5538	Regulatory protein, MarR	42128.8	43777.6	41603.5
A0A2U9PXS3;A0A653FC62;A0R4B3;I7FL78	A0A653FC62;I7FL78;A0A2U9PXS3;A0R4B3;L0J398	A0A2U9PXS3_MYCSE;A0A653FC62_MYCSM;A0R4B3_MYCS2;I7FL78_MYCS2	D806_056700;MSMEG_5773;des;desA1	Fatty acid desaturase	1.2536e+06	1.27362e+06	1.25692e+06
